schema_version,scenario_id,symbol,side,setup_family,scenario_status,lifecycle_state,initial_candidate_id,latest_candidate_id,initial_signal_id,latest_signal_id,detected_at_utc,detected_at_jst,last_updated_at_utc,last_updated_at_jst,entry_zone_low,entry_zone_high,invalidation_price,tp1_price,tp2_price,candidate_event_count,source_signal_count,zone_touched_at_utc,zone_touched_at_jst,terminal_at_utc,terminal_at_jst,proxy_outcome,proxy_outcome_status,ohlcv_coverage_status,scenario_method_version,max_update_gap_minutes,max_scenario_age_hours,zone_tolerance_bps,invalidation_tolerance_bps
manual_scenario.v1,scn_6661bfa1dc36a159478fb8db,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260707_190500:short:limit_retest,20260707_210500:short:limit_retest,20260707_190500,20260707_210500,2026-07-07T19:05:00.610803Z,2026-07-08T04:05:00.610803+09:00,2026-07-07T21:05:00.045596Z,2026-07-08T06:05:00.045596+09:00,63808.5,64028.3,64346.3,63362.14,62891.45,3,3,2026-07-07T19:45:00Z,2026-07-08T04:45:00+09:00,2026-07-07T21:30:00Z,2026-07-08T06:30:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_c637e6e5a44103d4177e0943,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260707_190500:long:counter_scalp,20260707_210500:long:counter_scalp,20260707_190500,20260707_210500,2026-07-07T19:05:00.610803Z,2026-07-08T04:05:00.610803+09:00,2026-07-07T21:05:00.045596Z,2026-07-08T06:05:00.045596+09:00,63521.1,63605.9,63203.1,64032.01,64428.45,3,3,2026-07-07T19:15:00Z,2026-07-08T04:15:00+09:00,2026-07-07T21:30:00Z,2026-07-08T06:30:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_52f580eb2ab53648c5644e81,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260707_220500:long:counter_scalp,20260708_000500:long:counter_scalp,20260707_220500,20260708_000500,2026-07-07T22:05:00.055881Z,2026-07-08T07:05:00.055881+09:00,2026-07-08T00:05:00.677297Z,2026-07-08T09:05:00.677297+09:00,63314.58,63392.02,63024.18,63781.16,64143.19,2,2,2026-07-07T22:15:00Z,2026-07-08T07:15:00+09:00,2026-07-08T01:30:00Z,2026-07-08T10:30:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_6867dcc56c5e8bf8465bf56e,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260707_220500:short:limit_retest,20260708_000500:short:limit_retest,20260707_220500,20260708_000500,2026-07-07T22:05:00.055881Z,2026-07-08T07:05:00.055881+09:00,2026-07-08T00:05:00.677297Z,2026-07-08T09:05:00.677297+09:00,63349.28,63486.62,63777.02,62951.16,62556.18,2,2,2026-07-07T22:15:00Z,2026-07-08T07:15:00+09:00,2026-07-08T01:30:00Z,2026-07-08T10:30:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_382ad7d6410e2b85a92d6735,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260708_020501:long:counter_scalp,20260708_020501:long:counter_scalp,20260708_020501,20260708_020501,2026-07-08T02:05:01.009613Z,2026-07-08T11:05:01.009613+09:00,2026-07-08T02:05:01.009613Z,2026-07-08T11:05:01.009613+09:00,62917.68,63007.12,62582.29,63456.55,63874.68,1,1,2026-07-08T02:15:00Z,2026-07-08T11:15:00+09:00,2026-07-08T02:30:00Z,2026-07-08T11:30:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_64d7a258c311748c018795e5,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260708_020501:short:limit_retest,20260708_050500:short:limit_retest,20260708_020501,20260708_050500,2026-07-08T02:05:01.009613Z,2026-07-08T11:05:01.009613+09:00,2026-07-08T05:05:00.665514Z,2026-07-08T14:05:00.665514+09:00,62817.06,62988.94,63280.96,62411.65,61995.89,4,4,2026-07-08T03:00:00Z,2026-07-08T12:00:00+09:00,2026-07-08T05:30:00Z,2026-07-08T14:30:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_8bb52457a7b20660ecddcd49,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260708_030500:long:counter_scalp,20260708_050500:long:counter_scalp,20260708_030500,20260708_050500,2026-07-08T03:05:00.818311Z,2026-07-08T12:05:00.818311+09:00,2026-07-08T05:05:00.665514Z,2026-07-08T14:05:00.665514+09:00,62715.96,62793.84,62423.94,63185.15,63549.21,3,3,2026-07-08T03:15:00Z,2026-07-08T12:15:00+09:00,2026-07-08T05:45:00Z,2026-07-08T14:45:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_960747e212041151c3d3d2df,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260708_060500:long:counter_scalp,20260708_080500:long:counter_scalp,20260708_060500,20260708_080500,2026-07-08T06:05:00.098843Z,2026-07-08T15:05:00.098843+09:00,2026-07-08T08:05:00.532514Z,2026-07-08T17:05:00.532514+09:00,62720.87,62788.93,62465.63,63130.95,63449.14,3,3,2026-07-08T06:15:00Z,2026-07-08T15:15:00+09:00,2026-07-08T08:15:00Z,2026-07-08T17:15:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_e5605b6b218794a011cd52cd,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260708_060500:short:limit_retest,20260708_080500:short:limit_retest,20260708_060500,20260708_080500,2026-07-08T06:05:00.098843Z,2026-07-08T15:05:00.098843+09:00,2026-07-08T08:05:00.532514Z,2026-07-08T17:05:00.532514+09:00,62821.97,62984.03,63239.27,62465.85,62095.96,3,3,2026-07-08T07:30:00Z,2026-07-08T16:30:00+09:00,2026-07-08T08:15:00Z,2026-07-08T17:15:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_575e9c582df722dfbbc08ddf,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260708_090500:short:limit_retest,20260708_130500:short:limit_retest,20260708_090500,20260708_130500,2026-07-08T09:05:00.945529Z,2026-07-08T18:05:00.945529+09:00,2026-07-08T13:05:00.945839Z,2026-07-08T22:05:00.945839+09:00,62101.96,62217.04,62502.33,61713.82,61336.71,3,3,2026-07-08T09:30:00Z,2026-07-08T18:30:00+09:00,2026-07-08T13:45:00Z,2026-07-08T22:45:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
