schema_version,trial_fact_id,scenario_id,scenario_event_id,signal_id,candidate_id,event_timestamp_utc,side,setup_family,market_regime,operator_class,classifier_method_version,trade_execution_gate,phase1b_lite_gate,opportunity_gate,reason_codes,warning_codes,no_trade_flags,risk_flags,entry_zone_low,entry_zone_high,invalidation_price,tp1_price,tp2_price,outcome_status,intraperiod_outcome,first_exit_reason,mfe_r,mae_r,ohlcv_coverage_status,ohlcv_gap_reason,zone_result,direction_result,comparison_status,actual_episode_id,actual_link_confidence,actual_net_pnl_after_fee,evidence_tier,issue_flags
manual_operator_trial_evidence.v1,tf_b0771a8fee87777501cd02ec,scn_c637e6e5a44103d4177e0943,sce_71735302917398773dc0d399,20260707_190500,20260707_190500:long:counter_scalp,2026-07-07T19:05:00.610803Z,long,counter_scalp,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_down_reversal;long_flush_exhaustion;long_into_major_resistance;major_resistance_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;trend_flip_early_down;upper_liquidity_close,63514.16,63677.24,63144.11,64182.77,64679.52,resolved_negative,sl_first,sl,0.4321,1.5048,,,,,aligned,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;stop_useful_proxy
manual_operator_trial_evidence.v1,tf_ce6ad0b6252fc9b8a5a5d660,scn_6661bfa1dc36a159478fb8db,sce_ecaa4640d5465ccabcb2cce4,20260707_190500,20260707_190500:short:limit_retest,2026-07-07T19:05:00.610803Z,short,limit_retest,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_down_reversal;long_flush_exhaustion;long_into_major_resistance;major_resistance_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;trend_flip_early_down;upper_liquidity_close,63801.56,64035.24,64405.29,63285.44,62749.86,resolved_positive,tp1_first,tp1,1.5166,0.0000,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_3e1ee380517d7f3aaff5bf84,scn_52f580eb2ab53648c5644e81,sce_244bfe450fc75ee1120a9b5b,20260707_220500,20260707_220500:long:counter_scalp,2026-07-07T22:05:00.055881Z,long,counter_scalp,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;long_flush_exhaustion;long_into_major_resistance;major_resistance_rejection;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_early_down;upper_liquidity_close,63309.89,63396.71,62984.3,63833.01,64238.91,resolved_negative,sl_first,sl,0.8324,1.2363,,,,,aligned,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;stop_useful_proxy
manual_operator_trial_evidence.v1,tf_edffad43f369c5eb8998e57b,scn_6867dcc56c5e8bf8465bf56e,sce_a3d408c9798dd474db5a6542,20260707_220500,20260707_220500:short:limit_retest,2026-07-07T22:05:00.055881Z,short,limit_retest,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;long_flush_exhaustion;long_into_major_resistance;major_resistance_rejection;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_early_down;upper_liquidity_close,63344.59,63491.31,63816.9,62899.31,62460.46,resolved_positive,tp1_first,tp1,1.3319,0.8118,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_961ce0517b64e13447b90576,scn_382ad7d6410e2b85a92d6735,sce_9c3eb4ff4a87da0ffb4763db,20260708_020501,20260708_020501:long:counter_scalp,2026-07-08T02:05:01.009613Z,long,counter_scalp,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_down_reversal;long_into_major_resistance;major_resistance_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_early_down,62917.68,63007.12,62582.29,63456.55,63874.68,resolved_negative,sl_first,sl,0.0000,1.1953,,,,,aligned,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;stop_useful_proxy
manual_operator_trial_evidence.v1,tf_aee1b2da369c14600968609d,scn_64d7a258c311748c018795e5,sce_d7347fd3e555e21522cff337,20260708_020501,20260708_020501:short:limit_retest,2026-07-08T02:05:01.009613Z,short,limit_retest,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_down_reversal;long_into_major_resistance;major_resistance_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_early_down,63039.28,63128.72,63464.11,62589.85,62171.72,resolved_positive,tp1_first,tp1,1.3125,0.0000,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_3f78881c236bd6be5283a74c,scn_8bb52457a7b20660ecddcd49,sce_7df7636471ea8e569dcfd61d,20260708_030500,20260708_030500:long:counter_scalp,2026-07-08T03:05:00.818311Z,long,counter_scalp,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,failed_breakout_down_reversal;long_into_major_resistance;major_resistance_rejection;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_early_down;upper_liquidity_close,62916.01,63008.79,62568.07,63475.03,63908.79,resolved_negative,sl_first,sl,0.2267,1.1249,,,,,aligned,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;stop_useful_proxy
manual_operator_trial_evidence.v1,tf_5e08d9bade4b227d08c0b45e,scn_e5605b6b218794a011cd52cd,sce_a7fdc99318a9b68a2624fce3,20260708_060500,20260708_060500:short:limit_retest,2026-07-08T06:05:00.098843Z,short,limit_retest,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_up_reversal;long_flush_exhaustion;major_support_rejection;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,62819.7,62986.3,63258.54,62440.8,62049.71,resolved_positive,tp1_first,tp1,2.3969,0.0253,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_318b45cbde36ab3d2ac95d67,scn_960747e212041151c3d3d2df,sce_e4d31491faf490c2c86b54d7,20260708_060500,20260708_060500:long:counter_scalp,2026-07-08T06:05:00.098843Z,long,counter_scalp,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_up_reversal;long_flush_exhaustion;major_support_rejection;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,62606.8,62702.3,62334.56,63070.53,63422.52,resolved_negative,sl_first,sl,1.0679,2.0162,,,,,aligned,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;stop_useful_proxy
manual_operator_trial_evidence.v1,tf_e378b5a4d80fa663d895b8c3,scn_a19cee4b8afdc8dc81d31fde,sce_2f3d96b873f713b19298d43a,20260708_090500,20260708_090500:long:counter_scalp,2026-07-08T09:05:00.945529Z,long,counter_scalp,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,failed_breakout_down_reversal;long_into_major_resistance;major_resistance_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,61834.51,61925.49,61493.32,62382.68,62810.51,resolved_positive,tp1_first,tp1,0.8129,0.5728,,,useful,,too_defensive,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;high_value_missed_opportunity_proxy;stop_false_alarm_proxy
