candidate_id,signal_id,timestamp_jst,candidate_type,active_primary_action,side,entry_mode,entry_price,stop_price,tp1_price,tp2_price,outcome,entry_reached_time,first_exit_time,first_exit_reason,mfe_price,mae_price,mfe_r,mae_r,notes,source_signal_id,candidate_status,entry_zone_low,entry_zone_high,stop_loss,tp1,tp2,rr_current_tp1,rr_current_tp2,rr_zone_mid_tp1,rr_zone_mid_tp2,market_entry_status,limit_entry_status,counter_scalp_status,breakout_status,active_subject_label,active_headline,next_condition
20260710_010500:long:limit_retest,20260710_010500,2026-07-10T10:05:00.121994+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,63066.62,62765.98,63457.44,63788.13,tp2_first,2026-07-10T10:15:00+09:00,2026-07-10T10:45:00+09:00,tp2,862.38,0.00,2.8685,0.0000,,20260710_010500,allowed,63000.68,63132.55,62765.98,63457.44,63788.13,1.17,2.2,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,001-63,133 へ押し、15分足で反発継続なら候補"
20260710_010500:short:counter_scalp,20260710_010500,2026-07-10T10:05:00.121994+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,63085.2,63333.73,62678.64,62365.33,not_entered,,,,,,,,,20260710_010500,conditional,62998.78,63099.03,63333.73,62678.64,62365.33,1.64,2.9,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"62,999-63,099 へ戻り、15分足で再失速するなら候補"
20260710_030500:long:limit_retest,20260710_030500,2026-07-10T12:05:00.806668+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,63234.9,62913.06,63653.29,64007.32,not_entered,,,,,,,,,20260710_030500,allowed,63197.04,63272.76,62913.06,63653.29,64007.32,,0.07,1.3,2.4,blocked,allowed,blocked,armed,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,197-63,273 へ押し、15分足で反発継続なら候補"
20260710_030500:short:counter_scalp,20260710_030500,2026-07-10T12:05:00.806668+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,63935.1,64307.74,63272.76,63116.75,sl_first,2026-07-10T12:15:00+09:00,2026-07-10T17:15:00+09:00,sl,163.70,444.90,0.4393,1.1939,,20260710_030500,conditional,63891.14,64023.76,64307.74,63272.76,63116.75,1.78,2.2,1.95,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,891-64,024 へ戻り、15分足で再失速するなら候補"
20260710_050500:long:limit_retest,20260710_050500,2026-07-10T14:05:00.144169+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,63789.0,63493.34,64173.35,64498.57,tp1_first,2026-07-10T15:45:00+09:00,2026-07-10T17:15:00+09:00,tp1,591.00,17.60,1.9989,0.0595,,20260710_050500,allowed,63754.22,63823.78,63493.34,64173.35,64498.57,0.29,0.91,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,754-63,824 へ押し、15分足で反発継続なら候補"
20260710_050500:short:counter_scalp,20260710_050500,2026-07-10T14:05:00.144169+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,64019.3,64317.66,63530.70,63154.33,sl_first,2026-07-10T14:15:00+09:00,2026-07-10T17:15:00+09:00,sl,247.90,360.70,0.8309,1.2089,,20260710_050500,conditional,63894.22,64056.78,64317.66,63530.7,63154.33,1.64,2.9,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,894-64,057 へ戻り、15分足で再失速するなら候補"
20260710_060500:long:limit_retest,20260710_060500,2026-07-10T15:05:00.264965+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,63915.5,63638.23,64275.95,64659.28,tp1_first,2026-07-10T15:15:00+09:00,2026-07-10T17:15:00+09:00,tp1,464.50,144.10,1.6753,0.5197,,20260710_060500,allowed,63882.88,63948.12,63638.23,64275.95,64659.28,0.41,1.26,1.3,2.68,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,883-63,948 へ押し、15分足で反発継続なら候補"
20260710_060500:short:counter_scalp,20260710_060500,2026-07-10T15:05:00.264965+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,64090.0,64505.67,63775.49,63267.52,sl_first,2026-07-10T17:15:00+09:00,2026-07-10T21:00:00+09:00,sl,90.20,490.10,0.2170,1.1791,,20260710_060500,conditional,64115.38,64261.02,64505.67,63775.49,63267.52,0.76,1.98,1.3,2.9,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,115-64,261 へ戻り、15分足で再失速するなら候補"
20260710_080500:long:limit_retest,20260710_080500,2026-07-10T17:05:00.804297+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,63915.5,63674.97,64228.19,64659.55,tp1_first,2026-07-10T23:15:00+09:00,2026-07-10T23:15:00+09:00,tp1,316.90,0.00,1.3175,0.0000,,20260710_080500,allowed,63883.54,63947.46,63674.97,64228.19,64659.55,0.97,2.5,1.3,3.09,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,884-63,947 へ押し、15分足で反発継続なら候補"
20260710_080500:short:counter_scalp,20260710_080500,2026-07-10T17:05:00.804297+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,63956.2,64262.58,63602.36,63266.52,sl_first,2026-07-10T17:15:00+09:00,2026-07-10T17:15:00+09:00,sl,0.00,423.80,0.0000,1.3832,,20260710_080500,conditional,63897.04,64054.01,64262.58,63602.36,63266.52,1.15,2.25,1.3,2.47,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,897-64,054 へ戻り、15分足で再失速するなら候補"
